distance,ratio
1235,0.014530238
1150,0.013458618
1070,0.012651107
985,0.01162388
900,0.010803058
820,0.009877813
738,0.008942983
653,0.008134292
570,0.007367878
488,0.006483096
404,0.005743804
324,0.005078462

