ID,Head,Tail,Center 11,Center 12,Center 13,Center 14,Center 15,Center 16,Center 17,Center 21,Center 22,Center 23,Center 31,Center 32,Center 33,Center 34,Center 35,Center 36,Center 37,Center 41,Center 42,Center 43
0.0,102.57380923135084,98.92757623957895,97.39132335948098,108.02531556535415,95.95308307323867,94.46813935088457,92.86944980614628,97.17148947800588,92.48475608895554,89.92173765453244,92.34695798734539,94.0017913751592,94.4618349957113,91.6463270523744,93.21556037574302,93.8240076236204,90.8923002254256,99.07932019359693,95.3632209303961,88.83020650175762,93.59273905885695,89.2985196181875
1.0,102.38146195973636,95.1423314357728,97.40518788774227,95.51575649829572,91.6345773820866,94.00139721721864,90.62378940010626,100.73245335366089,100.01173517627342,97.63859128485878,95.40918995544695,90.39300439811869,100.00299406436183,100.98842009650237,89.6917933730989,94.72799684503006,92.78997476344513,95.70730635551038,94.20920205292377,95.17674398892093,97.46826818874814,93.53253038502415
2.0,100.87808954893733,104.34044551155853,94.96137464081662,88.87088204854771,92.17119305270454,95.91495477830495,86.84046505273547,99.09242582507255,97.40339390649865,91.60017095414943,92.0964320585154,84.85830069666616,99.87038174651384,98.22036769594959,88.39475472682946,97.84208651297135,92.73905787022788,96.44843394951678,93.69300726576442,94.66257033820571,89.76907847714075,92.26292326724783
3.0,100.27585736377304,102.977243848279,97.14317790585014,90.15014707020514,93.08026227451927,93.70370780745138,90.70255818838142,107.69611512173539,100.00727358375157,91.25640642592433,91.53335406637322,94.28033416790323,95.33558051227992,97.90063429787998,85.81244427429395,92.57848334173015,98.27251890660615,93.5793849190147,102.81646893210902,94.57339772869298,95.48184187862685,93.05060797164762
4.0,104.0212604669092,93.49434199505917,111.70524384729578,95.17735897295752,91.29774337295015,94.08340794368024,88.06555092812812,97.37060886370872,103.1081039298991,93.01240115461607,97.25195059975205,94.39680120983142,94.46993542354215,91.57424968240123,94.39546966983211,95.28123030035849,87.57807932771563,104.1686505721615,104.59830192225644,92.4229588102515,93.69499451802234,84.79133658746086
5.0,100.05174503216125,96.91933032816628,88.29331984324604,94.16944390015125,91.62107888378257,92.27608936070786,92.97449943592136,101.00791866411338,103.70349999027387,92.33642322940334,95.68151302700731,94.6182324230882,93.2652237978104,93.01350051432297,90.72825936613296,93.00295183655628,92.8820195107622,93.77332812239464,102.48432962527708,94.38666460964909,92.45682765012185,95.22673478669557
6.0,104.50441214111972,103.36714959431026,95.97802920439484,92.36368523850594,88.15455511494699,85.37300065068256,95.21081198561214,102.0006065292714,98.00031817416458,93.19698382682607,93.24709894911823,86.66740232166403,94.16004597004698,93.09177474494783,93.61895228488011,91.26187008163778,89.2450502826913,97.54563536969205,105.2710689950311,96.62056465065906,96.64168870372369,88.93670015682777
7.0,101.62702319160262,97.16735600975329,94.26268711769018,99.666032344346,96.03493821703559,95.24013344143164,93.87329438213433,93.08609317023354,93.67338924570737,93.06627430356026,93.31818579499843,87.97628050069775,94.31210762418043,96.92962461634333,95.1220014698722,93.76825842611903,86.86947929409058,97.3254425460806,99.14015624670364,93.39039987215494,97.31998083149902,89.7036279382114
8.0,98.79338480997274,94.81415081062724,88.2104817692817,97.0324753509287,85.80682818157007,93.15328896633419,99.4039380424412,90.99257373525353,104.29628570321941,84.91302660899498,95.38841010339299,98.16683865291807,97.08586927324185,91.88383579308356,94.16540506006112,93.00360234274059,89.27610261705054,95.6442684710994,89.97583211055738,93.18290992151451,94.27341527910046,89.68571287712824
9.0,105.77579068885241,94.3682786779674,99.106756593328,97.33850592067857,93.42534838870922,94.43454688813301,93.41946269990639,98.6006605363322,93.68017243641593,93.84333127805355,95.39884529206161,91.53723728552409,90.36722710563768,93.85919672421191,93.74402435781012,96.89714887705217,95.7130694161621,98.2366223108059,99.99775937119627,91.45986401748446,95.41464254536695,95.44094352719233
